BIZ_NO,CMP_PFIX_NM,CMP_NM,CMP_SFIX_NM,CMP_ENM,BZ_TYP,CMP_SCL,PBCO_GB,PSN_CORP_GB,HDOF_BR_GB,FR_IVST_CORP_YN,VENT_YN,LIST_CD,IND_CD_ORDR,IND_CD1,IND_CD2,IND_CD3,PB_ORG_TYP,MDSCO_PRTC_YN,HDOF_CMP_CD,ESTB_DATE,ESTB_GB,LIST_DATE,MN_BIZ_CONT,NATN_NM,HOMEPAGE_URL,CEO_NM,EMP_CNT
1208198883,(주),케이브랜즈,,K-BRANDS INC.,M,2,2,1,1,N,N,,10,46103,,,0,N,,20000128,01,,의복 및 의류잡화 가방 제조업,,www.kbrands.co.kr,엄진현,159
6098159893,,카바스,(주),"KAVAS Co., Ltd.",M,2,2,1,1,N,Y,,10,27302,,,0,N,,20030726,01,,정보기기(IT)부품 제조업,,www.kavas.co.kr,정종교,31
1288161100,(주),모투스,,"Motus Co., Ltd.",M,2,2,1,1,N,N,,10,33301,,,0,N,,19931104,01,,"런닝머신, 자전거 외",,www.motus.co.kr,신관식,12
1138172605,(주),에이치에이티,,"HAT CO.,LTD",M,2,2,1,1,N,N,,10,14410,,,0,N,,20011102,01,,"의류, 원단 및 부자재의 수출입업, 오파업, 도소매업 및 제조업",,www.hatlace.com,김봉석외  1명,10
1378113242,(주),도헌,,"DOHEON E&C.CO.,LTD",M,2,2,1,1,N,N,,10,42202,42204,,0,N,,19950714,01,,기계설비공사 외,,,김성일,23
2208648937,(주),쓰리윈이알피,,"Three Win ERP Co., Ltd.",M,2,2,1,1,N,N,,10,71530,,,0,N,,20021004,01,,"SAP 솔루션, ERP 컨설팅서비스 외",,www.3winerp.com,박진용,30
1218128420,(주),대성어패럴,,Daeseong Apparel,M,2,2,1,1,N,N,,10,14190,,,0,N,,19981101,01,,섬유피혁,,,심민자,20
2128152662,,정석건업,(주),jungsuk,M,2,2,1,1,N,N,,10,42000,,,0,N,,20010618,01,,"토공사, 비계구조물해체공사, 보링그라우팅공사",,,최도현,15
2018123639,(주),대성지류유통,,"Daesung Paper Marketing Co.,Ltd.",M,2,2,1,1,N,N,,10,46799,,,0,N,,19990201,01,,"지류 도,소매업",,www.daesungpaper.co.kr,권정택,8
5138105683,(주),에이스지앤월드,,ACE G & WORLD LTD.,M,2,2,1,1,N,N,,10,25112,,,0,N,,19911010,01,,지붕판금공사업,,www.acepanel.co.kr,오호융,66
4098178062,(주),청호에스엔지호남,,"Chungho SNG Honam Co., Ltd.",M,2,2,1,1,N,N,,10,46591,,,0,N,,20070313,01,,"사무, 회계 계산기기 유지",,,최일호,21
1068142253,(주),밀로텍,,"milloTek CO.,LTD.",M,2,2,1,1,N,N,,10,46595,,,0,N,,19930306,01,,전선용빅터 도매업,,www.millotek.com,최충식,7
2148140968,,동성특수종합물류,(주),"DONGSUNG HEAVY INDUSTRIAL CO.,LTD.",M,2,2,1,1,N,N,,10,49300,,,0,N,,20140519,01,,화물용역 운수업,,,이종삼,5
1208634394,(주),플랙트그룹코리아,,FlaktGroup Korea Ltd.,M,2,2,1,1,N,N,,10,29173,,,0,N,,20020305,01,,공기조화기,,www.flaktwoods.com,팡통치앙,55
1198106122,,한양철강,(주),HANYANG STEEL COPERATION,M,2,2,1,1,N,N,,10,30391,,,0,N,,19870101,01,,강관. 강판 도매업,,hanyang-steel.co.kr,김영준,66
1348609666,(주),신기정공,,"SINKI PRECISION CO.,LTD.",M,2,2,1,1,N,N,,10,29294,,,0,N,,20031218,01,,금형 제작업,,,남진우,17
2138639274,(주),돈우,,"Donu Co., Ltd",M,2,2,1,1,N,N,,10,46413,,,0,N,,19990602,01,,무역,,,송지은,3
1378154660,(주),데오테크,,"DEOTECH CO., LTD.",M,2,2,1,1,N,N,,10,20321,,,0,N,,20030702,01,,"살균제, 탈취제",,www.deotech.co.kr,서승훈,6
1238519056,(주),돌담,,"Dolldam Co.,Ltd.",M,2,2,1,2,N,N,,10,13992,,,0,N,1288278,19980622,01,,건축용 자제 제조업,,www.dolldam.co.kr,이주영,29
6038149645,(주),드올,,FINETEC COLD STORAGE CORP.,M,2,2,1,1,N,N,,10,46315,,,0,N,,20020501,01,,냉장 밀 냉동 창고업,,www.busan.finetec.co.kr,이순균,26
5158124726,,우진건설,(주),Woojin's Company,M,2,2,1,1,N,N,,10,41220,,,0,N,,20030821,01,,"토목,건축공사업",,woojinhome.co.kr,권준혁,5
6028116118,,에스엠에너지,(주),"SM Energy Co.,Ltd.",M,2,2,1,1,N,N,,10,46800,,,0,N,,20000103,01,,무역업,,,이희성,6
1188109432,(주),뜨레비디엔씨,,"TREVI DNC CO.,LTD.",M,2,2,1,1,N,N,,10,46690,,,0,N,,19940524,01,,"철구조물 제조,판매업",,,이상기,3
1308172954,(주),예강산업,,"Yegang Industry Co.,Ltd.",M,2,2,1,1,N,N,,10,28420,,,0,N,,20000810,01,,조명기구 설계 및 디자인 개발 및 제조 판매,,,함윤수,12
1248130696,,케이디엠텍,(주),"KD M-TECH CO.,LTD",M,2,2,1,1,N,N,A032290,10,28909,,,0,N,,19721023,01,19970315,"전자제품, 통신기부품",,www.kdgmtech.co.kr,이윤복,102
1218114080,,문성엘에스,(주),"Munseong LS Co., Ltd.",M,2,2,1,1,N,N,,10,49301,,,0,N,,19890419,01,,자동차운송업,,www.msil.co.kr,김진욱,4
2108125437,,해날건설,(주),"HAENAL CONSTRUCTION CO.,LTD",M,2,2,1,1,N,N,,10,41121,,,0,N,,19990415,01,,건축공사업,,,천효근,4
3128130518,,마이크로에스엔브이콘트롤,(주),"Micro S & V Control Co, Ltd",M,2,2,1,1,N,N,,10,29299,,,0,N,,19980625,01,,소음방지시설,,www.microsv.com,안경덕,6
1138135804,(주),우림문화사,,"Woorim Moonwhasa Co.,Ltd.",M,2,2,1,1,N,N,,10,58113,,,0,N,,19950926,01,,"출판 및 인쇄업, 임대업",,,김종태,3
6098158007,(주),다이엑스,,"Da EX Co., Ltd.",M,2,2,1,1,N,N,,10,30391,,,0,N,,20030301,01,,"자동차부품,프레스(압형)가공품",,,박준표,103
3078109880,,우림종합건설,(주),"URIM SYNTHESIS CONSTRUCTION CO.,LTD.",M,2,2,1,1,N,N,,10,41220,,,0,N,,19960813,01,,토목공사업,,,서철호,12
1208138492,,오선물산,(주),"O SUN TRADE CO., LTD.",M,2,2,1,1,N,N,,10,46311,,,0,N,,19940428,01,,농산물판매업체,,www.osmall.co.kr,김관중,7
1208622942,(주),후이즈홀딩스,,WHOIS HOLDINGS,M,2,2,1,1,N,N,,10,71530,,,0,N,,20010619,01,,기업경영자문 및 투자인큐베이팅 사업,,www.whois.co.kr,이청종,7
6168105565,,협우설비,(주),"HYUBWOO SEOLBI CO.,LTD.",M,2,2,1,1,N,N,,10,42200,,,0,N,,19890928,01,,"기계설비공사, 소방시설공사",,,오덕환,18
2128128823,,소복건설,(주),"SOBOK CONSTRUCTION CO.,LTD",M,2,2,1,1,N,N,,10,42132,,,0,N,,19940421,01,,"토공사, 철근콘크리트공사 외",,www.sobok.co.kr,심갑보외  1명,57
2098110180,(주),풍양상사,,"POONGYANG CO.,LTD.",M,2,2,1,1,N,N,,10,13999,,,0,N,,19910207,01,,수출입업,,,권영철,95
2168115941,,대건개발,(주),Daegun CONSTRUCTION,M,2,2,1,1,N,N,,10,42410,,,0,N,,19990313,01,,도장 공사업,,,이상강,6
3068134770,(주),동양유통,,"Dongyang Distribution Co.,Ltd.",M,2,2,1,1,N,N,,10,10220,,,0,N,,19990406,01,,수산물 도매업,,,김우겸,9
1208195004,,한국증권정보기술,(주),"KOREA SECURITIES INFORMATION TECHNOLOGY CO.,LTD.",M,2,2,1,1,N,N,,10,58220,,,0,N,,19991102,01,,업무용소프트웨어개발,,www.ksit.kr,이은주,19
6098160686,,청산종합건설,(주),"cheong san construction co.,ltd.",M,2,2,1,1,N,N,,10,41220,,,0,N,,20031008,01,,건축공사,,www.cheongsancons.co.kr,김주봉,1
3068130056,(주),가미,,Gami Company Limited,M,2,2,1,1,N,N,,10,42412,,,0,N,,19970901,01,,실내건축공사 외,,-,김길성,24
1208162459,(주),엑심코퍼레이션,,"EXIM CORPORATION CO.,LTD",M,2,2,1,1,N,N,,10,14191,,,0,N,,19800201,01,,"신발, 스포츠용품, 의류, 오파",,www.rossignol.co.kr,김경회,4
1198102602,,한륙전자,(주),"Han Ryuk Electronics Co, Ltd",M,2,2,1,1,Y,N,,10,26290,,,0,N,,19700413,01,,전자저항기,일본,www.hanryuk.co.kr,정인일,23
1088149500,,상훈종합건영,(주),"Sanghun General Construction Co., Ltd.",M,2,2,1,1,N,N,,10,72110,,,0,N,,20010821,01,,토공사업,,www.sh90.co.kr,정재운,18
3028110951,,지엔에스엠엔씨,(주),"GNS M&C CO.,Ltd.",M,2,2,1,1,N,N,,10,28302,,,0,N,,20010115,01,,피복절연선 및 케이블 조립체 제조업,,poweron.co.kr,공천규,30
1048125618,,후림개발,(주),"Hoorim Development Co.,Ltd.",M,2,2,1,1,N,N,,10,68112,,,0,N,,19690510,01,,부동산임대업,,,이승훈,1
5038148268,(주),바오텍,,BAOTEC,M,2,2,1,1,N,N,,10,29150,,,0,N,,20010101,01,,"냉동기자재, 냉동기, 열교환기",,www.baotec.co.kr,김대근,38
3058142879,(주),이아이에스,,"E.I.S.CO.,LTD",M,2,2,1,1,N,N,,10,26290,,,0,N,,20010109,01,,PCB(인쇄회로기판) 검사,,,강완모,86
1198162269,(주),지원건설,,"JI WON CONSTRUCTION CO.,LTD.",M,2,2,1,1,N,N,,10,41000,,,0,N,,20030109,01,,"습식방수공사(바닥미장, 타일공사)",,,김영국외  1명,27
2208655476,(주),마무트코리아,,Mammut Korea Inc,M,2,2,1,1,Y,N,,10,46464,,,0,N,,20030111,01,,등산용품 및 등산용 의류 도소매업,스위스,www.mammutkorea.com,웨이룽게리푼,15
6038146575,(주),에스티에이치건설,,STH,M,2,2,1,1,N,N,,10,41122,,,0,N,,20010728,01,,주택건설업,,webhard.co.kr,안성한외  1명,17
5058125558,(주),한신인더스트리,,"HANSHIN IND. CO.,LTD.",M,2,2,1,1,N,N,,10,30300,,,0,N,,20000224,01,,자동차부품 제조,,www.hasco.com,서형노,16
1148621195,(주),시너지미디어,,SYNERGY MEDIA INC.,M,2,2,1,1,N,N,,10,59112,,,0,N,,20020814,01,,"영화제작,수입업",,www.synergymedia.co.kr,강유신,4
4108176012,(주),보형,,Bohyung,M,2,2,1,1,N,N,,10,42492,,,0,N,,20021022,01,,토목 건축공사 및 도급업,,,위영미,1
5048140707,(합),영광전기,,Youngkwang Electric,M,2,2,1,1,N,N,,10,42310,,,0,N,,20010705,02,,전기 공사업,,,나정호,3
2148676613,,위림종합건설,(주),"Wirim General Construction Co., Ltd.",M,2,2,1,1,N,N,,10,41220,,,0,N,,20010213,01,,조경공사업,,,정연정,6
3128134848,(주),제일벽지,,"Jeil Wallpaper Co.,Ltd.",M,2,2,1,1,N,N,,10,17903,,,0,N,,19970101,01,,벽지 제조및 판매업,,www.jeilwallpaper.com,정재식외  1명,60
6128107824,,에이치디종합건설,(주),"HD Construction Co., Ltd.",M,2,2,1,1,N,N,,10,41220,,,0,N,,19971027,01,,토목건설업,,handong21.com,박기연,11
1308111355,(주),신한기술센타,,"Shinhan Technology Co., Ltd.",M,2,2,1,1,Y,N,,10,28111,,,0,N,,19840315,01,,금형및치공구제조,일본,www.r50speaker.com,이규봉,1
3068116388,(주),나라손,,"Narason Co., Ltd.",M,2,2,1,1,N,N,,10,17909,,,0,N,,19930416,01,,제지가공업,,www.narason.co.kr,장영권,51
1048165075,(주),티스톤,,T STONE CORP.,M,2,2,1,1,N,N,,10,71531,,,0,N,,20010907,01,,기업의 컨설팅을 위한 용역사업,,www.tstone.co.kr,원준희외  1명,1
1248616398,(주),매크론,,"Macron Co, Ltd",M,2,2,1,1,N,N,,10,29270,,,0,N,,20031224,01,,엘씨디 장비 및 반도체장비 제조업,,www.macronsystem.co.kr,이길재,9
6038126579,(주),베스트샵수영,,"Best Shop Suyoung Co., Ltd.",M,2,2,1,1,N,N,,10,46521,,,0,N,,19951018,01,,전기 전자 제품 판매업,,,홍연식,3
2148680441,(주),플러스씨엔에스,,PLUSCNS,M,2,2,1,1,N,N,,10,46510,,,0,N,,20010419,01,,"회원카드, 신분증 등",,www.pluscns.co.kr,최일학,8
4078111463,,경보제지,(주),Kyoungbo Paper,M,2,2,1,1,N,N,,10,17902,,,0,N,,20031001,01,,재활용 재생화장지 제조업,,,박미숙,10
2298132441,(주),삼오물류정보,,SAMOH LOGISTICS INFORMATION,M,2,2,1,1,N,N,,10,27216,,,0,N,,19980612,01,,"공장창고자동화설비 및 물류설비, 소프트웨어개발용역",,www.samoh.com,양흥석,69
3128126256,(주),이츠웰,,"ITSWELL.CO.,LTD.",M,2,2,1,1,Y,N,,10,26121,,,0,N,,19970407,01,,LED소자 외,케이만군도,www.itswell.com,위종묵,207
2188114123,,한국콘탭시스템,(주),"Hankook Con. Tab System Co.,Ltd.",M,2,2,1,1,N,N,,10,42200,,,0,N,,19900201,01,,기계설비공사,,www.contab.co.kr,조동만,3
6188122731,,멀린엔터테인먼트코리아,(주),MERLIN ENTERTAINMENT KOREA COMPANY LIMITED,M,2,2,1,1,Y,N,,10,90231,,,0,N,,19971212,01,,"수족관 및 관련 시설의 개발, 설치 및 운영",호주,www.busanaquarium.com,로버트마크스미스외 1명,53
6058162038,(주),아이맥스,,"EYEMax Co.,Ltd.",M,2,2,1,1,N,N,,10,26420,,,0,N,,20030818,01,,"전자기기, 영상장비 개발 및 제조판매업",,www.braintoctoc.com,강성철,4
2158114032,,거룡실업,(주),"GUORYONG INDUSTRIAL CO., LTD.",M,2,2,1,1,N,N,,10,14411,,,0,N,,19901210,01,,무역업,,grvina.net,방대규,4
1348162007,,우상종합건설,(주),"Woosang General Construction Co.,Ltd.",M,2,2,1,1,N,N,,10,41121,,,0,N,,20001114,01,,주거용 건물 건설업,,,성정범,3
3018162607,,자혜식품,(주),"Jahye Food Co.,Ltd",M,2,2,1,1,N,N,,10,10619,,,0,N,,20020605,01,,선식,,www.jahye.com,최광윤,14
6218155960,(주),양산아이엠티,,Yangsan IMT,M,2,2,1,1,N,N,,10,46520,,,0,N,,20030924,01,,산업용 기계 및 장비 도매업,,,임영규,7
1138104937,,세원에스디에스,(주),SEONE SDS Co.. Ltd.,M,2,2,1,1,N,N,,10,29299,,,0,N,,19720503,01,,무대기계장치 제작 설치사업,,www.seonesds.com,김세현외  1명,17
2118745234,,엔지씨코리아,(주),NGC Korea Company Limited,M,2,2,1,1,N,N,,10,60221,,,0,N,,20040211,01,,프로그램공급업,,www.ngckorea.com,오상호,1
5158100025,(주),동산,,"Dongsan Co.,Ltd.",M,2,2,1,1,N,N,,10,13994,,,0,N,,19900504,01,,피피코팅 제조 판매업,,포대.com,이미숙,5
1398137099,(주),상신산업,,SIC Tube,M,2,2,1,1,N,N,,10,24132,,,0,N,,19980702,01,,강관제조업,,www.sictube.com,성국태,27
6108158953,,금강문화허브,(주),"GEUMGANG CULTURE HEOBEU CO.,LTD.",M,2,2,1,1,N,N,,10,96921,,,0,N,,20020601,01,,상조 관련업,,www.ikumkang.com,김호철,3
6068154230,,대한강재,(주),"DAEHANSTEEL CO.,LTD.",M,2,2,1,1,N,N,,10,24191,,,0,N,,19940715,01,,"철판, 철재가공제조및 아연도철판 도매",,www.daehansteel.com,이상중,45
6058163037,(주),청호에스엔지경남,,"Cheongho SNG Kyoungnam Co., Ltd.",M,2,2,1,1,N,N,,10,95300,,,0,N,,20031211,01,,"사무, 회계계산기기유지 및 수리업",,www.chunghocomnet.com,김태원,18
5038105750,,부성티에프시,(주),"BUSUNG TFC CO.,LTD.",M,2,2,1,1,N,N,,10,13402,,,0,N,,19830525,01,,"염색가공업, 무역업",,www.mikwangtex.com,조상형,68
6218126427,,인지전기공업,(주),"Inji Electric Industrial Co.,Ltd.",M,2,2,1,1,N,Y,,10,28422,,,0,N,,19970321,01,,"조명기구 및 전기재료 제조, 판매업",,www.inj55.co.kr,박인주,7
1348134286,(주),고려상공,,"Koryo Commercial Industry Co., Ltd.",M,2,2,1,1,N,N,,10,46533,,,0,N,,19970101,01,,CO2솔리드와이어생산업,,www.koreawelds.co.kr,배영창,5
2148649095,(주),신안엔지니어링,,SHINAN ENGINEERING CO.,M,2,2,1,1,N,N,,10,29271,,,0,N,,20000214,01,,"반도체 및 엘씨디장비용 제어시스템 제조,개발,판매",,www.utechsys.com,이유정,6
5158114795,,서현스틸,(주),"SEOHYEON STEEL CO.,LTD.",M,2,2,1,1,N,N,,10,25944,,,0,N,,19990420,01,,철선제조 생산 및 도소매업,,,이남희,8
3058133948,,프로유비스,(주),"PROUBS.CO.LTD.,",M,2,2,1,1,N,N,,10,42322,,,0,N,,19990315,01,,정보통신공사,,-,강병모,4
6138131201,,회명옵틱스,(주),"HOIMYUNG OPTICS CO., LTD.",M,2,2,1,1,Y,N,,10,22212,,,0,N,,20030206,01,,이형필름,일본,www.hoimyung.co.kr,한창호,42
1068171724,,제이에스텔레트로닉스,(주),"JS Teletronics Co., Ltd.",M,2,2,1,1,N,N,,10,46591,,,0,N,,19980218,01,,키보드 스위치 제조 판매업,,www.js4u.com.ne.kr,김종관,2
2138636694,(주),에프알제이,,"FRJ CO., LTD",M,2,2,1,1,N,N,,10,14191,,,0,N,,19981106,01,,의류,,www.frj.co.kr,김지원,2
6068166357,(주),삼보동선,,Sambo Corpperwire.co.LTD,M,2,2,1,1,N,N,,10,26294,,,0,N,,20010322,01,,전자코일 제조,,www.sambocopperwire.com,나태욱,35
1088121915,,세종머티리얼즈,(주),"Sejong Materials Co.,Ltd",M,2,2,1,1,Y,N,A135270,10,24290,,,0,N,,20000429,01,20141217,비철금속 유통 판매업,일본,www.sejongmaterials.co.kr,성재복외  1명,72
2208154545,(주),한일개발,,"Hanil Development Co.,Ltd.",M,2,2,1,1,N,N,,10,91121,,,0,N,,19980822,01,,"골프장 운영,숙박업",,www.oxfield.co.kr,박근숙,41
2158126294,,대은주류,(주),Daeeun Brewery,M,2,2,1,1,N,N,,10,46331,,,0,N,,19900410,01,,탁주를 제외한 국산주류일체도매업,,,이대주,55
6078136818,,고려환경엔지니어링,(주),"Korea Environmental Engineering Co.,Ltd.",M,2,2,1,1,N,N,,10,72122,,,0,N,,19961031,01,,환경 오염 물질 측정 대행업,,www.korea-envi.co.kr,홍정욱,6
1368114777,,진도화성공업,(주),"Jindo Chemical Industrial Co., Ltd.",M,2,2,1,1,N,N,,10,20421,,,0,N,,19950614,01,,"우레탄, 에폭시",,www.jindochem.co.kr,황신하,10
6068134568,,동일산업,(주),"Dongil IND. Co.,Ltd.",M,2,2,1,1,N,N,,10,16211,,,0,N,,19881101,01,,"베니어합판, 미창합판제조 및 판매업",,,임정엽,75
1318177874,(주),인투스디자인가구,,Intus Furniture,M,2,2,1,1,N,N,,10,32090,,,0,N,,20030220,01,,"가정용 가구[장롱, 서랍장, 거실장 등]",,,홍성경,20
